,Name,Net_worth_USD,Age,Nationality,Primary_source_of_wealth
0,Bill Gates,$36.4 billion,42,United States,Microsoft
1,Walton family,$27.6 billion,_,United States,Wal-Mart
2,Warren Buffett,$23.2 billion,66,United States,Berkshire Hathaway
3,Lee Shau-kee,$14.7 billion,69,Hong Kong,Henderson Land Development[53]
4,Paul Allen,$14.1 billion,44,United States,Microsoft
5,Kwok brothers,$12.3 billion,48,Hong Kong,Sun Hung Kai Properties[54]
6,Haas family,$12.3 billion,_,United States,Levi Strauss & Co[55]
7,Forrest Mars Sr. & family,$12.0 billion,93,United States,"Mars, Inc.[52]"
8,Karl and Theo Albrecht,$11.5 billion,77,Germany,Aldi
9,Tsai Wan-lin & family,$11.3 billion,73,Taiwan,Cathay Life Insurance[56]
