,Name,Net_worth_USD,Age,Nationality,Primary_source_of_wealth
0,Bill Gates,$51.0 billion,143,United States,Microsoft
1,Walton family,$48.0 billion,_,United States,Wal-Mart
2,Warren Buffett,$33.0 billion,67,United States,Berkshire Hathaway
3,Paul Allen,$21.0 billion,45,United States,Microsoft
4,Kenneth Thomson,$14.4 billion,174,Canada,Woodbridge Co. Ltd.[50]
5,Jay and Robert Pritzker,$13.5 billion,_,United States,Hyatt[51]
6,Forrest Mars Sr. & family,$13.5 billion,194,United States,"Mars, Inc.[52]"
7,Al-Waleed Bin Talal,$13.3 billion,41,Saudi Arabia,Kingdom Holding Company
8,Lee Shau-kee,$12.7 billion,70,Hong Kong,Henderson Land Development[53]
9,Karl and Theo Albrecht,$11.7 billion,78,Germany,Aldi
